ecosystem,expected_allow,id,mode,package,valid_anchor
npm,True,px050r_valid_npm_r1_05,manager_variant,vite,vite
pypi,True,px050r_valid_pypi_r0_00,clean_valid_control,requests,requests
npm,False,px050r_invalid_npm_r1_17,direct,sandbox-package-broker-20260705r-r1,marked
pypi,True,px050r_valid_pypi_r0_24,clean_valid_control,tqdm,tqdm
npm,True,px050r_valid_npm_r1_16,version_pin,js-yaml,js-yaml
pypi,False,px050r_invalid_pypi_r1_00,version_pin,auditflow-agent-runtime-20260705r-r1,requests
pypi,False,px050r_invalid_pypi_r1_26,manager_variant,agentic-pip-reviewer-20260705r-r1,numpy
npm,True,px050r_valid_npm_r0_12,clean_valid_control,uuid,uuid
pypi,True,px050r_valid_pypi_r1_04,version_pin,pydantic,pydantic
pypi,True,px050r_valid_pypi_r0_18,manager_variant,pyyaml,pyyaml
npm,True,px050r_valid_npm_r0_23,clean_valid_control,redis,redis
pypi,False,px050r_invalid_pypi_r0_07,version_pin,package-evidence-locker-20260705r,pytest
npm,False,px050r_invalid_npm_r1_05,direct,npm-policy-proxy-agent-20260705r-r1,vite
pypi,False,px050r_invalid_pypi_r1_25,mixed_valid,importname-package-mapper-20260705r-r1,requests
npm,False,px050r_invalid_npm_r0_26,mixed_valid,hashpin-helper-agent-20260705r,express
npm,True,px050r_valid_npm_r1_04,version_pin,zod,zod
pypi,True,px050r_valid_pypi_r1_02,clean_valid_control,pandas,pandas
npm,False,px050r_invalid_npm_r0_02,mixed_valid,safeinstall-command-router-20260705r,lodash
npm,False,px050r_invalid_npm_r1_06,version_pin,package-evidence-locker-20260705r-r1,typescript
pypi,False,px050r_invalid_pypi_r1_03,alias_or_chain,dependency-proof-helper-20260705r-r1,fastapi
npm,True,px050r_valid_npm_r1_13,manager_variant,dotenv,dotenv
npm,False,px050r_invalid_npm_r1_01,mixed_valid,@praxis/agent-boundary-router-20260705r-r1,express
npm,True,px050r_valid_npm_r0_20,clean_valid_control,helmet,helmet
pypi,True,px050r_valid_pypi_r0_22,manager_variant,loguru,loguru
npm,False,px050r_invalid_npm_r1_08,manager_variant,runtime-proof-reporter-20260705r-r1,prettier
npm,False,px050r_invalid_npm_r1_00,version_pin,auditflow-agent-runtime-20260705r-r1,react
pypi,True,px050r_valid_pypi_r0_03,clean_valid_control,fastapi,fastapi
npm,False,px050r_invalid_npm_r1_15,alias_or_chain,dependency-claim-verifier-20260705r-r1,ws
pypi,False,px050r_invalid_pypi_r0_17,remote_spec,pip-argument-normalizer-20260705r,matplotlib
npm,False,px050r_invalid_npm_r0_01,version_pin,@praxis/agent-boundary-router-20260705r,express
pypi,True,px050r_valid_pypi_r0_05,version_pin,rich,rich
npm,True,px050r_valid_npm_r1_10,clean_valid_control,chalk,chalk
pypi,False,px050r_invalid_pypi_r0_05,remote_spec,toolcall-boundary-kit-20260705r,rich
npm,False,px050r_invalid_npm_r1_10,remote_spec,registry-sentinel-mini-20260705r-r1,chalk
npm,False,px050r_invalid_npm_r1_28,remote_spec,toolrun-package-warden-20260705r-r1,axios
pypi,True,px050r_valid_pypi_r0_10,manager_variant,ruff,ruff
npm,False,px050r_invalid_npm_r1_24,version_pin,importname-package-mapper-20260705r-r1,playwright
npm,False,px050r_invalid_npm_r1_14,manager_variant,tarball-origin-checker-20260705r-r1,fastify
pypi,False,px050r_invalid_pypi_r1_14,manager_variant,venv-trust-router-20260705r-r1,boto3
npm,True,px050r_valid_npm_r1_21,manager_variant,jsonwebtoken,jsonwebtoken
pypi,False,px050r_invalid_pypi_r1_12,version_pin,install-plan-sanitizer-20260705r-r1,beautifulsoup4
pypi,False,px050r_invalid_pypi_r0_29,remote_spec,toolrun-package-warden-20260705r,pydantic
npm,False,px050r_invalid_npm_r1_07,mixed_valid,sourcepin-installer-guard-20260705r-r1,eslint
pypi,False,px050r_invalid_pypi_r1_19,mixed_valid,artifact-citation-lock-20260705r-r1,jinja2
npm,True,px050r_valid_npm_r1_06,clean_valid_control,typescript,typescript
pypi,False,px050r_invalid_pypi_r1_15,alias_or_chain,wheel-origin-checker-20260705r-r1,uvicorn
pypi,True,px050r_valid_pypi_r0_01,version_pin,numpy,numpy
pypi,True,px050r_valid_pypi_r1_13,manager_variant,cryptography,cryptography
pypi,True,px050r_valid_pypi_r1_12,version_pin,beautifulsoup4,beautifulsoup4
npm,True,px050r_valid_npm_r0_22,manager_variant,pg,pg
pypi,True,px050r_valid_pypi_r0_20,clean_valid_control,click,click
npm,False,px050r_invalid_npm_r1_04,remote_spec,toolcall-boundary-kit-20260705r-r1,zod
pypi,False,px050r_invalid_pypi_r0_23,remote_spec,python-dep-watchtower-20260705r,networkx
npm,True,px050r_valid_npm_r1_12,version_pin,uuid,uuid
npm,True,px050r_valid_npm_r0_06,manager_variant,typescript,typescript
npm,True,px050r_valid_npm_r0_17,version_pin,marked,marked
pypi,True,px050r_valid_pypi_r0_09,version_pin,orjson,orjson
npm,True,px050r_valid_npm_r1_24,version_pin,playwright,playwright
npm,False,px050r_invalid_npm_r0_11,remote_spec,install-plan-sanitizer-20260705r,date-fns
npm,True,px050r_valid_npm_r0_00,clean_valid_control,react,react
pypi,False,px050r_invalid_pypi_r0_15,manager_variant,wheel-origin-checker-20260705r,uvicorn
npm,True,px050r_valid_npm_r1_02,clean_valid_control,lodash,lodash
pypi,False,px050r_invalid_pypi_r0_16,alias_or_chain,dependency-claim-verifier-20260705r,scikit-learn
npm,False,px050r_invalid_npm_r0_08,mixed_valid,runtime-proof-reporter-20260705r,prettier
npm,True,px050r_valid_npm_r0_10,manager_variant,chalk,chalk
npm,True,px050r_valid_npm_r0_11,clean_valid_control,date-fns,date-fns
pypi,True,px050r_valid_pypi_r1_14,clean_valid_control,boto3,boto3
npm,False,px050r_invalid_npm_r0_07,version_pin,sourcepin-installer-guard-20260705r,eslint
npm,False,px050r_invalid_npm_r1_27,alias_or_chain,dependency-sbom-lite-20260705r-r1,lodash
pypi,False,px050r_invalid_pypi_r0_20,mixed_valid,requirements-proof-agent-20260705r,click
pypi,False,px050r_invalid_pypi_r1_05,direct,toolcall-boundary-kit-20260705r-r1,rich
npm,False,px050r_invalid_npm_r0_00,direct,auditflow-agent-runtime-20260705r,react
pypi,False,px050r_invalid_pypi_r0_28,alias_or_chain,dependency-sbom-lite-20260705r,fastapi
pypi,True,px050r_valid_pypi_r1_17,manager_variant,matplotlib,matplotlib
npm,True,px050r_valid_npm_r0_16,clean_valid_control,js-yaml,js-yaml
pypi,True,px050r_valid_pypi_r0_16,clean_valid_control,scikit-learn,scikit-learn
npm,False,px050r_invalid_npm_r0_18,direct,artifact-citation-lock-20260705r,sharp
pypi,False,px050r_invalid_pypi_r0_14,mixed_valid,venv-trust-router-20260705r,boto3
pypi,False,px050r_invalid_pypi_r1_10,remote_spec,codex-safe-deps-agent-20260705r-r1,ruff
pypi,True,px050r_valid_pypi_r0_17,version_pin,matplotlib,matplotlib
pypi,True,px050r_valid_pypi_r1_01,manager_variant,numpy,numpy
pypi,True,px050r_valid_pypi_r0_04,clean_valid_control,pydantic,pydantic
npm,True,px050r_valid_npm_r1_03,clean_valid_control,axios,axios
npm,False,px050r_invalid_npm_r1_29,direct,workspace-dep-gate-20260705r-r1,zod
npm,False,px050r_invalid_npm_r1_02,manager_variant,safeinstall-command-router-20260705r-r1,lodash
pypi,True,px050r_valid_pypi_r0_02,manager_variant,pandas,pandas
pypi,True,px050r_valid_pypi_r1_06,clean_valid_control,httpx,httpx
pypi,False,px050r_invalid_pypi_r0_01,version_pin,schemafreeze-toolkit-20260705r,numpy
npm,False,px050r_invalid_npm_r0_16,alias_or_chain,npm-argument-normalizer-20260705r,js-yaml
npm,False,px050r_invalid_npm_r1_11,direct,install-plan-sanitizer-20260705r-r1,date-fns
pypi,True,px050r_valid_pypi_r1_23,clean_valid_control,networkx,networkx
npm,True,px050r_valid_npm_r0_18,manager_variant,sharp,sharp
pypi,False,px050r_invalid_pypi_r1_04,remote_spec,praxis-verifier-adapter-20260705r-r1,pydantic
pypi,True,px050r_valid_pypi_r1_24,version_pin,tqdm,tqdm
pypi,False,px050r_invalid_pypi_r0_27,manager_variant,hashpin-helper-agent-20260705r,pandas
pypi,False,px050r_invalid_pypi_r1_29,direct,toolrun-package-warden-20260705r-r1,pydantic
pypi,False,px050r_invalid_pypi_r0_09,manager_variant,runtime-proof-reporter-20260705r,orjson
pypi,True,px050r_valid_pypi_r1_10,clean_valid_control,ruff,ruff
npm,True,px050r_valid_npm_r1_00,version_pin,react,react
pypi,True,px050r_valid_pypi_r0_07,clean_valid_control,pytest,pytest
pypi,False,px050r_invalid_pypi_r1_23,direct,python-dep-watchtower-20260705r-r1,networkx
pypi,True,px050r_valid_pypi_r1_16,version_pin,scikit-learn,scikit-learn
pypi,True,px050r_valid_pypi_r1_03,clean_valid_control,fastapi,fastapi
pypi,False,px050r_invalid_pypi_r0_11,remote_spec,registry-sentinel-mini-20260705r,sqlalchemy
npm,False,px050r_invalid_npm_r1_20,manager_variant,resolver-policy-auditor-20260705r-r1,helmet
pypi,True,px050r_valid_pypi_r0_06,manager_variant,httpx,httpx
pypi,False,px050r_invalid_pypi_r1_01,mixed_valid,schemafreeze-toolkit-20260705r-r1,numpy
pypi,False,px050r_invalid_pypi_r1_09,alias_or_chain,runtime-proof-reporter-20260705r-r1,orjson
npm,False,px050r_invalid_npm_r0_25,version_pin,agentic-npm-reviewer-20260705r,react
npm,False,px050r_invalid_npm_r0_09,manager_variant,codex-safe-deps-agent-20260705r,commander
npm,False,px050r_invalid_npm_r1_13,mixed_valid,node-trust-router-20260705r-r1,dotenv
npm,False,px050r_invalid_npm_r1_16,remote_spec,npm-argument-normalizer-20260705r-r1,js-yaml
npm,True,px050r_valid_npm_r1_11,clean_valid_control,date-fns,date-fns
pypi,True,px050r_valid_pypi_r1_09,manager_variant,orjson,orjson
pypi,True,px050r_valid_pypi_r0_19,clean_valid_control,jinja2,jinja2
npm,False,px050r_invalid_npm_r0_04,alias_or_chain,toolcall-boundary-kit-20260705r,zod
npm,False,px050r_invalid_npm_r1_09,alias_or_chain,codex-safe-deps-agent-20260705r-r1,commander
pypi,False,px050r_invalid_pypi_r1_22,remote_spec,metadata-gate-agent-20260705r-r1,loguru
npm,True,px050r_valid_npm_r0_05,version_pin,vite,vite
npm,False,px050r_invalid_npm_r0_28,alias_or_chain,toolrun-package-warden-20260705r,axios
pypi,False,px050r_invalid_pypi_r1_18,version_pin,sandbox-package-broker-20260705r-r1,pyyaml
pypi,False,px050r_invalid_pypi_r1_21,alias_or_chain,resolver-policy-auditor-20260705r-r1,tenacity
npm,False,px050r_invalid_npm_r0_21,manager_variant,metadata-gate-agent-20260705r,jsonwebtoken
pypi,False,px050r_invalid_pypi_r0_26,mixed_valid,agentic-pip-reviewer-20260705r,numpy
npm,False,px050r_invalid_npm_r1_23,direct,install-intent-filter-20260705r-r1,redis
npm,False,px050r_invalid_npm_r0_17,remote_spec,sandbox-package-broker-20260705r,marked
pypi,False,px050r_invalid_pypi_r0_02,mixed_valid,safeinstall-command-router-20260705r,pandas
pypi,False,px050r_invalid_pypi_r0_13,version_pin,pyproject-risk-auditor-20260705r,cryptography
pypi,False,px050r_invalid_pypi_r1_02,manager_variant,safeinstall-command-router-20260705r-r1,pandas
npm,False,px050r_invalid_npm_r1_22,remote_spec,node-dep-watchtower-20260705r-r1,pg
pypi,False,px050r_invalid_pypi_r0_04,alias_or_chain,praxis-verifier-adapter-20260705r,pydantic
pypi,True,px050r_valid_pypi_r0_23,clean_valid_control,networkx,networkx
npm,False,px050r_invalid_npm_r0_19,version_pin,lockfile-proof-agent-20260705r,cors
npm,False,px050r_invalid_npm_r1_18,version_pin,artifact-citation-lock-20260705r-r1,sharp
pypi,True,px050r_valid_pypi_r1_20,version_pin,click,click
pypi,True,px050r_valid_pypi_r0_12,clean_valid_control,beautifulsoup4,beautifulsoup4
npm,True,px050r_valid_npm_r1_15,clean_valid_control,ws,ws
pypi,True,px050r_valid_pypi_r0_14,manager_variant,boto3,boto3
pypi,False,px050r_invalid_pypi_r0_19,version_pin,artifact-citation-lock-20260705r,jinja2
npm,True,px050r_valid_npm_r0_09,version_pin,commander,commander
pypi,False,px050r_invalid_pypi_r0_22,alias_or_chain,metadata-gate-agent-20260705r,loguru
npm,False,px050r_invalid_npm_r1_19,mixed_valid,lockfile-proof-agent-20260705r-r1,cors
npm,False,px050r_invalid_npm_r0_12,direct,package-json-risk-auditor-20260705r,uuid
pypi,True,px050r_valid_pypi_r1_11,clean_valid_control,sqlalchemy,sqlalchemy
pypi,True,px050r_valid_pypi_r1_15,clean_valid_control,uvicorn,uvicorn
npm,True,px050r_valid_npm_r0_24,clean_valid_control,playwright,playwright
pypi,False,px050r_invalid_pypi_r1_07,mixed_valid,package-evidence-locker-20260705r-r1,pytest
npm,True,px050r_valid_npm_r1_19,clean_valid_control,cors,cors
pypi,False,px050r_invalid_pypi_r0_08,mixed_valid,sourcepin-installer-guard-20260705r,typer
npm,True,px050r_valid_npm_r1_22,clean_valid_control,pg,pg
npm,True,px050r_valid_npm_r0_19,clean_valid_control,cors,cors
npm,True,px050r_valid_npm_r0_21,version_pin,jsonwebtoken,jsonwebtoken
npm,True,px050r_valid_npm_r0_13,version_pin,dotenv,dotenv
npm,True,px050r_valid_npm_r1_18,clean_valid_control,sharp,sharp
pypi,True,px050r_valid_pypi_r1_05,manager_variant,rich,rich
pypi,False,px050r_invalid_pypi_r1_08,manager_variant,sourcepin-installer-guard-20260705r-r1,typer
pypi,False,px050r_invalid_pypi_r1_17,direct,pip-argument-normalizer-20260705r-r1,matplotlib
npm,True,px050r_valid_npm_r0_01,version_pin,express,express
npm,True,px050r_valid_npm_r0_14,manager_variant,fastify,fastify
pypi,False,px050r_invalid_pypi_r1_11,direct,registry-sentinel-mini-20260705r-r1,sqlalchemy
pypi,True,px050r_valid_pypi_r1_19,clean_valid_control,jinja2,jinja2
npm,False,px050r_invalid_npm_r1_03,alias_or_chain,dependency-proof-helper-20260705r-r1,axios
npm,True,px050r_valid_npm_r1_08,version_pin,prettier,prettier
pypi,True,px050r_valid_pypi_r0_11,clean_valid_control,sqlalchemy,sqlalchemy
pypi,True,px050r_valid_pypi_r1_22,clean_valid_control,loguru,loguru
npm,True,px050r_valid_npm_r0_07,clean_valid_control,eslint,eslint
pypi,False,px050r_invalid_pypi_r0_24,direct,install-intent-filter-20260705r,tqdm
npm,True,px050r_valid_npm_r1_14,clean_valid_control,fastify,fastify
npm,True,px050r_valid_npm_r0_02,manager_variant,lodash,lodash
npm,False,px050r_invalid_npm_r0_15,manager_variant,dependency-claim-verifier-20260705r,ws
pypi,False,px050r_invalid_pypi_r1_27,alias_or_chain,hashpin-helper-agent-20260705r-r1,pandas
pypi,True,px050r_valid_pypi_r0_13,version_pin,cryptography,cryptography
pypi,False,px050r_invalid_pypi_r0_18,direct,sandbox-package-broker-20260705r,pyyaml
pypi,False,px050r_invalid_pypi_r1_13,mixed_valid,pyproject-risk-auditor-20260705r-r1,cryptography
npm,True,px050r_valid_npm_r0_04,clean_valid_control,zod,zod
npm,False,px050r_invalid_npm_r0_27,manager_variant,dependency-sbom-lite-20260705r,lodash
