ecosystem,expected_allow,id,mode,package,valid_anchor
pypi,True,px050s_valid_pypi_r0_15,clean_valid_control,uvicorn,uvicorn
pypi,False,px050s_invalid_pypi_r1_14,manager_variant,venv-trust-router-20260705s-s1,boto3
npm,False,px050s_invalid_npm_r0_29,remote_spec,workspace-dep-gate-20260705s,zod
npm,False,px050s_invalid_npm_r1_07,mixed_valid,sourcepin-installer-guard-20260705s-s1,eslint
npm,False,px050s_invalid_npm_r1_23,direct,install-intent-filter-20260705s-s1,redis
npm,True,px050s_valid_npm_r1_19,clean_valid_control,cors,cors
pypi,True,px050s_valid_pypi_r1_08,version_pin,typer,typer
npm,False,px050s_invalid_npm_r0_09,manager_variant,codex-safe-deps-agent-20260705s,commander
pypi,False,px050s_invalid_pypi_r0_08,mixed_valid,sourcepin-installer-guard-20260705s,typer
npm,False,px050s_invalid_npm_r0_11,remote_spec,install-plan-sanitizer-20260705s,date-fns
pypi,False,px050s_invalid_pypi_r0_04,alias_or_chain,praxis-verifier-adapter-20260705s,pydantic
npm,False,px050s_invalid_npm_r1_25,mixed_valid,agentic-npm-reviewer-20260705s-s1,react
pypi,True,px050s_valid_pypi_r0_24,clean_valid_control,tqdm,tqdm
pypi,True,px050s_valid_pypi_r0_06,manager_variant,httpx,httpx
pypi,False,px050s_invalid_pypi_r0_05,remote_spec,toolcall-boundary-kit-20260705s,rich
pypi,False,px050s_invalid_pypi_r1_11,direct,registry-sentinel-mini-20260705s-s1,sqlalchemy
pypi,True,px050s_valid_pypi_r1_11,clean_valid_control,sqlalchemy,sqlalchemy
pypi,True,px050s_valid_pypi_r1_22,clean_valid_control,loguru,loguru
pypi,True,px050s_valid_pypi_r0_05,version_pin,rich,rich
pypi,True,px050s_valid_pypi_r1_10,clean_valid_control,ruff,ruff
npm,False,px050s_invalid_npm_r1_21,alias_or_chain,metadata-gate-agent-20260705s-s1,jsonwebtoken
npm,False,px050s_invalid_npm_r1_29,direct,workspace-dep-gate-20260705s-s1,zod
pypi,False,px050s_invalid_pypi_r1_09,alias_or_chain,runtime-proof-reporter-20260705s-s1,orjson
npm,True,px050s_valid_npm_r1_15,clean_valid_control,ws,ws
npm,True,px050s_valid_npm_r0_21,version_pin,jsonwebtoken,jsonwebtoken
pypi,True,px050s_valid_pypi_r0_17,version_pin,matplotlib,matplotlib
pypi,True,px050s_valid_pypi_r1_23,clean_valid_control,networkx,networkx
pypi,True,px050s_valid_pypi_r1_05,manager_variant,rich,rich
pypi,True,px050s_valid_pypi_r1_06,clean_valid_control,httpx,httpx
npm,False,px050s_invalid_npm_r0_18,direct,artifact-citation-lock-20260705s,sharp
npm,False,px050s_invalid_npm_r1_08,manager_variant,runtime-proof-reporter-20260705s-s1,prettier
npm,False,px050s_invalid_npm_r1_26,manager_variant,hashpin-helper-agent-20260705s-s1,express
npm,False,px050s_invalid_npm_r1_12,version_pin,package-json-risk-auditor-20260705s-s1,uuid
npm,False,px050s_invalid_npm_r1_03,alias_or_chain,dependency-proof-helper-20260705s-s1,axios
npm,True,px050s_valid_npm_r1_11,clean_valid_control,date-fns,date-fns
npm,True,px050s_valid_npm_r0_09,version_pin,commander,commander
npm,True,px050s_valid_npm_r1_01,manager_variant,express,express
pypi,True,px050s_valid_pypi_r0_22,manager_variant,loguru,loguru
pypi,True,px050s_valid_pypi_r1_12,version_pin,beautifulsoup4,beautifulsoup4
npm,True,px050s_valid_npm_r0_12,clean_valid_control,uuid,uuid
npm,False,px050s_invalid_npm_r0_04,alias_or_chain,toolcall-boundary-kit-20260705s,zod
npm,True,px050s_valid_npm_r1_21,manager_variant,jsonwebtoken,jsonwebtoken
npm,True,px050s_valid_npm_r0_24,clean_valid_control,playwright,playwright
pypi,True,px050s_valid_pypi_r0_13,version_pin,cryptography,cryptography
pypi,False,px050s_invalid_pypi_r0_28,alias_or_chain,dependency-sbom-lite-20260705s,fastapi
npm,True,px050s_valid_npm_r1_07,clean_valid_control,eslint,eslint
npm,False,px050s_invalid_npm_r0_12,direct,package-json-risk-auditor-20260705s,uuid
pypi,False,px050s_invalid_pypi_r1_16,remote_spec,dependency-claim-verifier-20260705s-s1,scikit-learn
pypi,False,px050s_invalid_pypi_r0_25,version_pin,importname-package-mapper-20260705s,requests
pypi,False,px050s_invalid_pypi_r1_29,direct,toolrun-package-warden-20260705s-s1,pydantic
npm,True,px050s_valid_npm_r0_18,manager_variant,sharp,sharp
npm,True,px050s_valid_npm_r1_02,clean_valid_control,lodash,lodash
npm,False,px050s_invalid_npm_r1_16,remote_spec,npm-argument-normalizer-20260705s-s1,js-yaml
npm,True,px050s_valid_npm_r0_07,clean_valid_control,eslint,eslint
npm,True,px050s_valid_npm_r0_22,manager_variant,pg,pg
npm,False,px050s_invalid_npm_r0_25,version_pin,agentic-npm-reviewer-20260705s,react
pypi,False,px050s_invalid_pypi_r0_24,direct,install-intent-filter-20260705s,tqdm
npm,False,px050s_invalid_npm_r1_10,remote_spec,registry-sentinel-mini-20260705s-s1,chalk
npm,True,px050s_valid_npm_r1_08,version_pin,prettier,prettier
npm,True,px050s_valid_npm_r0_11,clean_valid_control,date-fns,date-fns
npm,True,px050s_valid_npm_r0_14,manager_variant,fastify,fastify
pypi,False,px050s_invalid_pypi_r0_12,direct,install-plan-sanitizer-20260705s,beautifulsoup4
pypi,False,px050s_invalid_pypi_r1_22,remote_spec,metadata-gate-agent-20260705s-s1,loguru
npm,False,px050s_invalid_npm_r0_23,remote_spec,install-intent-filter-20260705s,redis
npm,False,px050s_invalid_npm_r1_04,remote_spec,toolcall-boundary-kit-20260705s-s1,zod
pypi,False,px050s_invalid_pypi_r0_06,direct,pip-policy-proxy-agent-20260705s,httpx
pypi,False,px050s_invalid_pypi_r0_07,version_pin,package-evidence-locker-20260705s,pytest
npm,True,px050s_valid_npm_r0_17,version_pin,marked,marked
npm,False,px050s_invalid_npm_r0_15,manager_variant,dependency-claim-verifier-20260705s,ws
pypi,False,px050s_invalid_pypi_r1_07,mixed_valid,package-evidence-locker-20260705s-s1,pytest
pypi,True,px050s_valid_pypi_r1_15,clean_valid_control,uvicorn,uvicorn
npm,True,px050s_valid_npm_r0_23,clean_valid_control,redis,redis
pypi,False,px050s_invalid_pypi_r0_21,manager_variant,resolver-policy-auditor-20260705s,tenacity
pypi,False,px050s_invalid_pypi_r1_26,manager_variant,agentic-pip-reviewer-20260705s-s1,numpy
npm,True,px050s_valid_npm_r1_09,manager_variant,commander,commander
pypi,False,px050s_invalid_pypi_r0_27,manager_variant,hashpin-helper-agent-20260705s,pandas
pypi,False,px050s_invalid_pypi_r1_25,mixed_valid,importname-package-mapper-20260705s-s1,requests
pypi,True,px050s_valid_pypi_r0_09,version_pin,orjson,orjson
pypi,True,px050s_valid_pypi_r1_09,manager_variant,orjson,orjson
pypi,True,px050s_valid_pypi_r1_19,clean_valid_control,jinja2,jinja2
npm,True,px050s_valid_npm_r1_17,manager_variant,marked,marked
npm,False,px050s_invalid_npm_r0_19,version_pin,lockfile-proof-agent-20260705s,cors
pypi,False,px050s_invalid_pypi_r0_00,direct,auditflow-agent-runtime-20260705s,requests
pypi,False,px050s_invalid_pypi_r0_16,alias_or_chain,dependency-claim-verifier-20260705s,scikit-learn
npm,False,px050s_invalid_npm_r1_05,direct,npm-policy-proxy-agent-20260705s-s1,vite
npm,False,px050s_invalid_npm_r0_27,manager_variant,dependency-sbom-lite-20260705s,lodash
npm,False,px050s_invalid_npm_r1_06,version_pin,package-evidence-locker-20260705s-s1,typescript
npm,True,px050s_valid_npm_r1_05,manager_variant,vite,vite
pypi,False,px050s_invalid_pypi_r0_20,mixed_valid,requirements-proof-agent-20260705s,click
pypi,False,px050s_invalid_pypi_r0_19,version_pin,artifact-citation-lock-20260705s,jinja2
npm,True,px050s_valid_npm_r1_18,clean_valid_control,sharp,sharp
npm,True,px050s_valid_npm_r1_14,clean_valid_control,fastify,fastify
pypi,True,px050s_valid_pypi_r1_24,version_pin,tqdm,tqdm
npm,False,px050s_invalid_npm_r0_08,mixed_valid,runtime-proof-reporter-20260705s,prettier
npm,False,px050s_invalid_npm_r1_27,alias_or_chain,dependency-sbom-lite-20260705s-s1,lodash
pypi,False,px050s_invalid_pypi_r0_01,version_pin,schemafreeze-toolkit-20260705s,numpy
pypi,True,px050s_valid_pypi_r1_21,manager_variant,tenacity,tenacity
npm,False,px050s_invalid_npm_r0_06,direct,package-evidence-locker-20260705s,typescript
npm,True,px050s_valid_npm_r0_16,clean_valid_control,js-yaml,js-yaml
npm,True,px050s_valid_npm_r0_06,manager_variant,typescript,typescript
npm,False,px050s_invalid_npm_r0_13,version_pin,node-trust-router-20260705s,dotenv
pypi,True,px050s_valid_pypi_r0_08,clean_valid_control,typer,typer
pypi,True,px050s_valid_pypi_r0_12,clean_valid_control,beautifulsoup4,beautifulsoup4
pypi,True,px050s_valid_pypi_r0_03,clean_valid_control,fastapi,fastapi
npm,False,px050s_invalid_npm_r0_28,alias_or_chain,toolrun-package-warden-20260705s,axios
pypi,True,px050s_valid_pypi_r1_18,clean_valid_control,pyyaml,pyyaml
pypi,False,px050s_invalid_pypi_r1_15,alias_or_chain,wheel-origin-checker-20260705s-s1,uvicorn
npm,False,px050s_invalid_npm_r0_26,mixed_valid,hashpin-helper-agent-20260705s,express
pypi,True,px050s_valid_pypi_r0_11,clean_valid_control,sqlalchemy,sqlalchemy
npm,True,px050s_valid_npm_r0_03,clean_valid_control,axios,axios
npm,True,px050s_valid_npm_r0_20,clean_valid_control,helmet,helmet
pypi,True,px050s_valid_pypi_r1_16,version_pin,scikit-learn,scikit-learn
pypi,False,px050s_invalid_pypi_r1_10,remote_spec,codex-safe-deps-agent-20260705s-s1,ruff
pypi,False,px050s_invalid_pypi_r1_06,version_pin,pip-policy-proxy-agent-20260705s-s1,httpx
npm,False,px050s_invalid_npm_r1_14,manager_variant,tarball-origin-checker-20260705s-s1,fastify
npm,True,px050s_valid_npm_r0_08,clean_valid_control,prettier,prettier
npm,True,px050s_valid_npm_r1_12,version_pin,uuid,uuid
npm,True,px050s_valid_npm_r0_02,manager_variant,lodash,lodash
pypi,True,px050s_valid_pypi_r1_04,version_pin,pydantic,pydantic
npm,False,px050s_invalid_npm_r0_01,version_pin,@praxis/agent-boundary-router-20260705s,express
pypi,True,px050s_valid_pypi_r1_07,clean_valid_control,pytest,pytest
npm,False,px050s_invalid_npm_r1_09,alias_or_chain,codex-safe-deps-agent-20260705s-s1,commander
npm,True,px050s_valid_npm_r0_00,clean_valid_control,react,react
npm,False,px050s_invalid_npm_r0_00,direct,auditflow-agent-runtime-20260705s,react
npm,False,px050s_invalid_npm_r0_20,mixed_valid,resolver-policy-auditor-20260705s,helmet
pypi,False,px050s_invalid_pypi_r1_20,manager_variant,requirements-proof-agent-20260705s-s1,click
npm,False,px050s_invalid_npm_r0_21,manager_variant,metadata-gate-agent-20260705s,jsonwebtoken
pypi,True,px050s_valid_pypi_r0_02,manager_variant,pandas,pandas
npm,False,px050s_invalid_npm_r1_19,mixed_valid,lockfile-proof-agent-20260705s-s1,cors
pypi,False,px050s_invalid_pypi_r1_19,mixed_valid,artifact-citation-lock-20260705s-s1,jinja2
pypi,False,px050s_invalid_pypi_r0_29,remote_spec,toolrun-package-warden-20260705s,pydantic
