record_id,group_id,attack,eligible,keep_all,marginal_order_statistic_formula_only,pac_score_only,pac_score_and_predicates
artificial-test-1-54,artificial-test-1-54,True,True,False,False,False,False
artificial-test-1-55,artificial-test-1-55,True,True,False,False,False,False
artificial-test-1-56,artificial-test-1-56,True,True,False,False,False,False
artificial-test-1-57,artificial-test-1-57,True,True,False,False,False,False
artificial-test-1-58,artificial-test-1-58,True,True,False,False,False,False
artificial-test-1-59,artificial-test-1-59,True,True,False,False,False,False
artificial-test-1-60,artificial-test-1-60,True,True,False,False,False,False
artificial-test-1-61,artificial-test-1-61,True,True,False,False,False,False
artificial-test-1-62,artificial-test-1-62,True,True,False,False,False,False
artificial-test-1-63,artificial-test-1-63,True,True,False,False,False,False
artificial-test-1-64,artificial-test-1-64,True,True,False,False,False,False
artificial-test-1-65,artificial-test-1-65,True,False,False,False,False,False
artificial-test-1-66,artificial-test-1-66,True,False,False,False,False,False
artificial-test-1-67,artificial-test-1-67,True,True,False,False,False,False
artificial-test-1-68,artificial-test-1-68,True,True,False,False,False,False
artificial-test-1-69,artificial-test-1-69,True,True,False,False,False,False
artificial-test-1-70,artificial-test-1-70,True,False,False,False,False,False
artificial-test-1-71,artificial-test-1-71,True,True,False,False,False,False
artificial-test-1-72,artificial-test-1-72,True,True,False,False,False,False
artificial-test-1-73,artificial-test-1-73,True,True,False,False,False,False
artificial-test-1-74,artificial-test-1-74,True,False,False,False,False,False
artificial-test-1-75,artificial-test-1-75,True,True,False,False,False,False
artificial-test-1-76,artificial-test-1-76,True,True,False,False,False,False
artificial-test-1-77,artificial-test-1-77,True,False,False,False,False,False
artificial-test-1-78,artificial-test-1-78,True,True,False,False,False,False
artificial-test-1-79,artificial-test-1-79,True,True,False,False,False,False
artificial-test-1-80,artificial-test-1-80,True,True,False,False,False,False
artificial-test-1-81,artificial-test-1-81,True,True,False,False,False,False
artificial-test-1-82,artificial-test-1-82,True,True,False,False,False,False
artificial-test-1-83,artificial-test-1-83,True,False,False,False,False,False
artificial-test-1-84,artificial-test-1-84,True,True,False,False,False,False
artificial-test-1-85,artificial-test-1-85,True,True,False,False,False,False
artificial-test-1-86,artificial-test-1-86,True,True,False,False,False,False
artificial-test-1-87,artificial-test-1-87,True,True,False,False,False,False
artificial-test-1-88,artificial-test-1-88,True,True,False,False,False,False
artificial-test-1-89,artificial-test-1-89,True,True,False,False,False,False
artificial-test-1-90,artificial-test-1-90,True,False,False,False,False,False
artificial-test-1-91,artificial-test-1-91,True,False,False,False,False,False
artificial-test-1-92,artificial-test-1-92,True,False,False,False,False,False
artificial-test-1-93,artificial-test-1-93,True,True,False,False,False,False
artificial-test-1-94,artificial-test-1-94,True,True,False,False,False,False
artificial-test-1-95,artificial-test-1-95,True,True,False,False,False,False
artificial-test-1-96,artificial-test-1-96,True,True,False,False,False,False
artificial-test-1-97,artificial-test-1-97,True,True,False,False,False,False
artificial-test-1-98,artificial-test-1-98,True,True,False,False,False,False
artificial-test-1-99,artificial-test-1-99,True,False,False,False,False,False
artificial-test-0-0,artificial-test-0-0,False,False,False,False,False,False
artificial-test-0-1,artificial-test-0-1,False,True,False,False,False,False
artificial-test-0-2,artificial-test-0-2,False,True,False,False,False,False
artificial-test-0-3,artificial-test-0-3,False,False,False,False,False,False
artificial-test-0-4,artificial-test-0-4,False,False,False,False,False,False
artificial-test-0-5,artificial-test-0-5,False,False,False,False,False,False
artificial-test-0-6,artificial-test-0-6,False,True,False,False,False,False
artificial-test-0-7,artificial-test-0-7,False,True,False,False,False,False
artificial-test-0-8,artificial-test-0-8,False,True,False,False,False,False
artificial-test-0-9,artificial-test-0-9,False,False,False,False,False,False
artificial-test-0-10,artificial-test-0-10,False,True,False,False,False,False
artificial-test-0-11,artificial-test-0-11,False,False,False,False,False,False
artificial-test-0-12,artificial-test-0-12,False,True,False,False,False,False
artificial-test-0-13,artificial-test-0-13,False,True,False,False,False,False
artificial-test-0-14,artificial-test-0-14,False,True,False,False,False,False
artificial-test-0-15,artificial-test-0-15,False,True,False,False,False,False
artificial-test-0-16,artificial-test-0-16,False,False,False,False,False,False
artificial-test-0-17,artificial-test-0-17,False,True,False,False,False,False
artificial-test-0-18,artificial-test-0-18,False,True,False,False,False,False
artificial-test-0-19,artificial-test-0-19,False,True,False,False,False,False
artificial-test-0-20,artificial-test-0-20,False,True,False,False,False,False
artificial-test-0-21,artificial-test-0-21,False,True,False,False,False,False
artificial-test-0-22,artificial-test-0-22,False,True,False,False,False,False
artificial-test-0-23,artificial-test-0-23,False,False,False,False,False,False
artificial-test-0-24,artificial-test-0-24,False,True,False,False,False,False
artificial-test-0-25,artificial-test-0-25,False,True,False,False,False,False
artificial-test-0-26,artificial-test-0-26,False,True,False,False,False,False
artificial-test-0-27,artificial-test-0-27,False,True,False,False,False,False
artificial-test-0-28,artificial-test-0-28,False,True,False,False,False,False
artificial-test-0-29,artificial-test-0-29,False,False,False,False,False,False
artificial-test-0-30,artificial-test-0-30,False,True,False,False,False,False
artificial-test-0-31,artificial-test-0-31,False,True,False,False,False,False
artificial-test-0-32,artificial-test-0-32,False,True,False,False,False,False
artificial-test-0-33,artificial-test-0-33,False,True,False,False,False,False
artificial-test-0-34,artificial-test-0-34,False,True,False,False,False,False
artificial-test-0-35,artificial-test-0-35,False,True,False,False,False,False
artificial-test-0-36,artificial-test-0-36,False,True,False,False,False,False
artificial-test-0-37,artificial-test-0-37,False,True,False,False,False,False
artificial-test-0-38,artificial-test-0-38,False,False,False,False,False,False
artificial-test-0-39,artificial-test-0-39,False,True,False,False,False,False
artificial-test-0-40,artificial-test-0-40,False,True,False,False,False,False
artificial-test-0-41,artificial-test-0-41,False,True,False,False,False,False
artificial-test-0-42,artificial-test-0-42,False,True,False,False,False,False
artificial-test-0-43,artificial-test-0-43,False,True,False,False,False,False
artificial-test-0-44,artificial-test-0-44,False,True,False,False,False,False
artificial-test-0-45,artificial-test-0-45,False,False,False,False,False,False
artificial-test-0-46,artificial-test-0-46,False,True,False,False,False,False
artificial-test-0-47,artificial-test-0-47,False,True,False,False,False,False
artificial-test-0-48,artificial-test-0-48,False,True,False,False,False,False
artificial-test-0-49,artificial-test-0-49,False,True,False,False,False,False
artificial-test-0-50,artificial-test-0-50,False,True,False,False,False,False
artificial-test-0-51,artificial-test-0-51,False,True,False,False,False,False
artificial-test-0-52,artificial-test-0-52,False,True,False,False,False,False
artificial-test-0-53,artificial-test-0-53,False,True,False,False,False,False
artificial-test-0-54,artificial-test-0-54,False,False,False,False,False,False
artificial-test-0-55,artificial-test-0-55,False,True,False,False,False,False
artificial-test-0-56,artificial-test-0-56,False,False,False,False,False,False
artificial-test-0-57,artificial-test-0-57,False,True,False,False,False,False
artificial-test-0-58,artificial-test-0-58,False,True,False,False,False,False
artificial-test-0-59,artificial-test-0-59,False,True,False,False,False,False
artificial-test-0-60,artificial-test-0-60,False,True,False,False,False,False
artificial-test-0-61,artificial-test-0-61,False,True,False,False,False,False
artificial-test-0-62,artificial-test-0-62,False,False,False,False,False,False
artificial-test-0-63,artificial-test-0-63,False,True,False,False,False,False
artificial-test-0-64,artificial-test-0-64,False,True,False,False,False,False
artificial-test-0-65,artificial-test-0-65,False,True,False,False,False,False
artificial-test-0-66,artificial-test-0-66,False,True,False,False,False,False
artificial-test-0-67,artificial-test-0-67,False,True,False,False,False,False
artificial-test-0-68,artificial-test-0-68,False,False,False,False,False,False
artificial-test-0-69,artificial-test-0-69,False,True,False,False,False,False
artificial-test-0-70,artificial-test-0-70,False,True,False,False,False,False
artificial-test-0-71,artificial-test-0-71,False,True,False,False,False,False
artificial-test-0-72,artificial-test-0-72,False,True,False,False,False,False
artificial-test-0-73,artificial-test-0-73,False,False,False,False,False,False
artificial-test-0-74,artificial-test-0-74,False,False,False,False,False,False
artificial-test-0-75,artificial-test-0-75,False,True,False,False,False,False
artificial-test-0-76,artificial-test-0-76,False,True,False,False,False,False
artificial-test-0-77,artificial-test-0-77,False,True,False,False,False,False
artificial-test-0-78,artificial-test-0-78,False,False,False,False,False,False
artificial-test-0-79,artificial-test-0-79,False,False,False,False,False,False
artificial-test-0-80,artificial-test-0-80,False,True,False,False,False,False
artificial-test-0-81,artificial-test-0-81,False,True,False,False,False,False
artificial-test-0-82,artificial-test-0-82,False,False,False,False,False,False
artificial-test-0-83,artificial-test-0-83,False,False,False,False,False,False
artificial-test-0-84,artificial-test-0-84,False,True,False,False,False,False
artificial-test-0-85,artificial-test-0-85,False,True,False,False,False,False
artificial-test-0-86,artificial-test-0-86,False,False,False,False,False,False
artificial-test-0-87,artificial-test-0-87,False,True,False,False,False,False
artificial-test-0-88,artificial-test-0-88,False,True,False,False,False,False
artificial-test-0-89,artificial-test-0-89,False,False,False,False,False,False
artificial-test-0-90,artificial-test-0-90,False,True,False,False,False,False
artificial-test-0-91,artificial-test-0-91,False,False,False,True,True,False
artificial-test-0-92,artificial-test-0-92,False,False,False,False,False,False
artificial-test-0-93,artificial-test-0-93,False,True,False,False,False,False
artificial-test-0-94,artificial-test-0-94,False,True,False,False,False,False
artificial-test-0-95,artificial-test-0-95,False,True,False,False,False,False
artificial-test-0-96,artificial-test-0-96,False,True,False,False,False,False
artificial-test-0-97,artificial-test-0-97,False,True,False,False,False,False
artificial-test-0-98,artificial-test-0-98,False,False,False,False,False,False
artificial-test-0-99,artificial-test-0-99,False,True,False,False,False,False
