seed,split,row_position,true_stage,frozen_pred,tta_pred,hybrid_pred,frozen_conf,tta_conf,use_tta,prediction_changed,uncertain_override,recon_rescue,protected_de
43,test,15468,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.3997923,0.74377185,True,True,True,False,False
43,test,15540,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.42536482,0.7161061,True,True,True,False,False
43,test,15816,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.36276266,0.7813446,True,True,True,False,False
43,test,16150,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.48568717,0.5471566,True,True,True,False,False
43,test,16514,Benign,Benign,Data Exfiltration,Data Exfiltration,0.48845425,0.5739749,True,True,True,False,False
43,test,18020,Benign,Establish Foothold,Data Exfiltration,Data Exfiltration,0.4812652,0.5723178,True,True,True,False,False
43,test,18311,Benign,Benign,Data Exfiltration,Data Exfiltration,0.49936828,0.8204527,True,True,True,False,False
43,test,18651,Establish Foothold,Establish Foothold,Data Exfiltration,Data Exfiltration,0.46724436,0.83692384,True,True,True,False,False
43,test,18809,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.3856127,0.81117105,True,True,True,False,False
43,test,19779,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.39810625,0.77501,True,True,True,False,False
43,test,20015,Establish Foothold,Establish Foothold,Data Exfiltration,Data Exfiltration,0.45213306,0.8941535,True,True,True,False,False
43,test,20716,Benign,Benign,Data Exfiltration,Data Exfiltration,0.49946633,0.81908154,True,True,True,False,False
43,test,20924,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.3969157,0.5412108,True,True,True,False,False
43,test,21097,Benign,Benign,Data Exfiltration,Data Exfiltration,0.48947307,0.7339087,True,True,True,False,False
43,test,21684,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.39684612,0.56078184,True,True,True,False,False
43,test,22078,Benign,Benign,Data Exfiltration,Data Exfiltration,0.43830508,0.8287769,True,True,True,False,False
43,test,22154,Benign,Benign,Data Exfiltration,Data Exfiltration,0.49447954,0.7757647,True,True,True,False,False
43,test,22181,Benign,Establish Foothold,Data Exfiltration,Data Exfiltration,0.42525128,0.4662582,True,True,True,False,False
43,test,22213,Benign,Establish Foothold,Data Exfiltration,Data Exfiltration,0.47674882,0.9618396,True,True,True,False,False
43,test,23032,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.35682094,0.55432594,True,True,True,False,False
43,test,29094,Data Exfiltration,Benign,Benign,Benign,0.49309945,0.48324552,True,False,True,False,False
43,test,31753,Benign,Establish Foothold,Data Exfiltration,Data Exfiltration,0.35819262,0.90419483,True,True,True,False,False
43,test,32076,Benign,Benign,Data Exfiltration,Data Exfiltration,0.49835426,0.4833533,True,True,True,False,False
43,test,35104,Data Exfiltration,Benign,Reconnaissance,Reconnaissance,0.5272605,0.8976568,True,True,False,True,False
43,test,35721,Data Exfiltration,Benign,Benign,Benign,0.4285683,0.6468896,True,False,True,False,False
43,test,35722,Data Exfiltration,Benign,Benign,Benign,0.42807412,0.64702004,True,False,True,False,False
43,test,35723,Data Exfiltration,Benign,Benign,Benign,0.42843276,0.6471451,True,False,True,False,False
43,test,35724,Data Exfiltration,Benign,Benign,Benign,0.42843053,0.6471466,True,False,True,False,False
43,test,35727,Data Exfiltration,Benign,Benign,Benign,0.42032623,0.6480044,True,False,True,False,False
43,test,35728,Data Exfiltration,Benign,Benign,Benign,0.42021623,0.6480659,True,False,True,False,False
43,test,35731,Data Exfiltration,Benign,Benign,Benign,0.4200614,0.6478676,True,False,True,False,False
43,test,35732,Data Exfiltration,Benign,Benign,Benign,0.419954,0.6479276,True,False,True,False,False
43,test,40763,Data Exfiltration,Establish Foothold,Benign,Benign,0.43120137,0.30505058,True,True,True,False,False
43,test,41264,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.44020763,0.9981596,True,True,True,False,False
43,test,41483,Benign,Lateral Movement,Data Exfiltration,Data Exfiltration,0.3635959,0.9569591,True,True,True,False,False
43,test,41634,Benign,Benign,Data Exfiltration,Data Exfiltration,0.3379645,0.9932967,True,True,True,False,False
43,test,42234,Benign,Benign,Data Exfiltration,Data Exfiltration,0.46307743,0.9767655,True,True,True,False,False
43,test,42377,Benign,Benign,Data Exfiltration,Data Exfiltration,0.4095318,0.98833174,True,True,True,False,False
43,test,42558,Benign,Benign,Data Exfiltration,Data Exfiltration,0.49210373,0.7604191,True,True,True,False,False
43,test,42787,Benign,Lateral Movement,Data Exfiltration,Data Exfiltration,0.30191657,0.99501944,True,True,True,False,False
43,test,43135,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.37144548,0.99221635,True,True,True,False,False
43,test,43256,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.37149358,0.9963097,True,True,True,False,False
43,test,43280,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.33510637,0.9932654,True,True,True,False,False
43,test,43297,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.47788614,0.9776724,True,True,True,False,False
43,test,43754,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.42412135,0.9953525,True,True,True,False,False
43,test,43874,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.47001433,0.96641344,True,True,True,False,False
43,test,44303,Benign,Lateral Movement,Data Exfiltration,Data Exfiltration,0.392614,0.99522203,True,True,True,False,False
43,test,44329,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.47710988,0.9961953,True,True,True,False,False
43,test,44373,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.474425,0.94858676,True,True,True,False,False
43,test,44914,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.49030724,0.95120406,True,True,True,False,False
43,test,45041,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.44118914,0.99797016,True,True,True,False,False
43,test,45857,Data Exfiltration,Benign,Data Exfiltration,Data Exfiltration,0.40000305,0.80302227,True,True,True,False,False
43,test,45858,Data Exfiltration,Benign,Data Exfiltration,Data Exfiltration,0.3983686,0.8043045,True,True,True,False,False
43,test,45859,Data Exfiltration,Benign,Data Exfiltration,Data Exfiltration,0.39844024,0.80426085,True,True,True,False,False
43,test,45860,Data Exfiltration,Benign,Data Exfiltration,Data Exfiltration,0.3984402,0.80426085,True,True,True,False,False
43,test,45863,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.41531602,0.83129156,True,True,True,False,False
43,test,46608,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.4407912,0.8140104,True,True,True,False,False
43,test,47958,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.46316236,0.7779709,True,True,True,False,False
43,test,48616,Benign,Benign,Data Exfiltration,Data Exfiltration,0.4966968,0.69717693,True,True,True,False,False
43,test,48739,Benign,Benign,Data Exfiltration,Data Exfiltration,0.44686148,0.84084773,True,True,True,False,False
43,test,48769,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.42293978,0.63016367,True,True,True,False,False
43,test,49017,Data Exfiltration,Establish Foothold,Data Exfiltration,Data Exfiltration,0.4901184,0.74642897,True,True,True,False,False
43,test,49020,Benign,Benign,Data Exfiltration,Data Exfiltration,0.4944779,0.78217256,True,True,True,False,False
